Kaleb's Favor,https://cards.eternalwarcry.com/cards/full/Kaleb's_Favor.png
Blazing Renegade,https://cards.eternalwarcry.com/cards/full/Blazing_Renegade.png
Flash Fire,https://cards.eternalwarcry.com/cards/full/Flash_Fire.png
Silence,https://cards.eternalwarcry.com/cards/full/Silence.png
Talir's Favored,https://cards.eternalwarcry.com/cards/full/Talir's_Favored.png
Timekeeper,https://cards.eternalwarcry.com/cards/full/Timekeeper.png
Oasis Sanctuary,https://cards.eternalwarcry.com/cards/full/Oasis_Sanctuary.png
Rolant's Favor,https://cards.eternalwarcry.com/cards/full/Rolant's_Favor.png
Mantle of Justice,https://cards.eternalwarcry.com/cards/full/Mantle_of_Justice.png
Eilyn's Favor,https://cards.eternalwarcry.com/cards/full/Eilyn's_Favor.png
Thunderbird,https://cards.eternalwarcry.com/cards/full/Thunderbird.png
Primal Incarnation,https://cards.eternalwarcry.com/cards/full/Primal_Incarnation.png
Vampire Bat,https://cards.eternalwarcry.com/cards/full/Vampire_Bat.png
Vara's Favor,https://cards.eternalwarcry.com/cards/full/Vara's_Favor.png
Devouring Shadow,https://cards.eternalwarcry.com/cards/full/Devouring_Shadow.png
Seat of Order,https://cards.eternalwarcry.com/cards/full/Seat_of_Order.png
Seat of Fury,https://cards.eternalwarcry.com/cards/full/Seat_of_Fury.png
Seat of Impulse,https://cards.eternalwarcry.com/cards/full/Seat_of_Impulse.png
Seat of Vengeance,https://cards.eternalwarcry.com/cards/full/Seat_of_Vengeance.png
Seat of Glory,https://cards.eternalwarcry.com/cards/full/Seat_of_Glory.png
Seat of Progress,https://cards.eternalwarcry.com/cards/full/Seat_of_Progress.png
Seat of Chaos,https://cards.eternalwarcry.com/cards/full/Seat_of_Chaos.png
Seat of Mystery,https://cards.eternalwarcry.com/cards/full/Seat_of_Mystery.png
Seat of Cunning,https://cards.eternalwarcry.com/cards/full/Seat_of_Cunning.png
Seat of Wisdom,https://cards.eternalwarcry.com/cards/full/Seat_of_Wisdom.png
Firebomb,https://cards.eternalwarcry.com/cards/full/Firebomb.png
Grenadin,https://cards.eternalwarcry.com/cards/full/Grenadin.png
Iron Sword,https://cards.eternalwarcry.com/cards/full/Iron_Sword.png
Magmahound,https://cards.eternalwarcry.com/cards/full/Magmahound.png
Scorpion,https://cards.eternalwarcry.com/cards/full/Scorpion.png
